167.94.138.116 - - [04/Oct/2021:10:29:17 +0000] "GET / HTTP/1.1" 200 3469 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
107.189.14.98 - - [04/Oct/2021:10:46:32 +0000] "GET / HTTP/1.1" 200 3488 "-" "Linux Gnu (cow)"
81.25.27.135 - - [04/Oct/2021:11:11:09 +0000] "GET / HTTP/1.0" 200 11595 "-" "-"
103.142.204.121 - - [04/Oct/2021:11:25:43 +0000] "GET /.env HTTP/1.1" 200 256 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.142.204.121 - - [04/Oct/2021:11:25:44 +0000] "POST / HTTP/1.1" 200 3525 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
64.62.197.212 - - [04/Oct/2021:11:29:43 +0000] "GET / HTTP/1.1" 200 11576 "-" "-"
198.98.54.17 - - [04/Oct/2021:12:19:04 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 492 "http://159.89.39.115:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
177.21.19.32 - - [04/Oct/2021:12:33:24 +0000] "GET / HTTP/1.1" 200 11576 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
212.193.30.34 - - [04/Oct/2021:13:03:38 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 492 "http://159.89.39.115:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
178.128.207.248 - - [04/Oct/2021:13:44:15 +0000] "GET / HTTP/1.1" 200 3469 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
18.209.104.198 - - [04/Oct/2021:13:49:56 +0000] "GET / HTTP/1.1" 200 3525 "-" "Mozilla/5.0 (Windows NT 6.2;en-US) AppleWebKit/537.32.36 (KHTML, live Gecko) Chrome/55.0.3048.90 Safari/537.32"
165.22.91.126 - - [04/Oct/2021:14:00:21 +0000] "\x16\x03\x01" 400 0 "-" "-"
